段号,start_time,end_time,条目数,最大值,最小值,均值,方差,标准差
1,2016-9-1 23:22:42,2016-9-1 23:44:23,1302,275.0525,273.353,274.4423122119816,0.14994499295605526,0.3872273143207427
2,2016-9-2 01:48:53,2016-9-2 02:10:22,1290,274.6985,272.716,274.0718604651163,0.13258539595323124,0.36412277593310644
3,2016-9-2 05:45:48,2016-9-2 06:37:48,3121,274.84,273.282,274.29317622556874,0.12188044826151755,0.3491138041692387
4,2016-9-2 06:37:50,2016-9-2 07:00:26,1357,275.0525,273.63599999999997,274.46005711127486,0.12075353231849455,0.34749608964489737
5,2016-9-2 17:09:34,2016-9-2 17:48:10,2317,275.0525,273.282,274.4393921018559,0.1252792338192838,0.35394806655678146
6,2016-9-3 06:34:02,2016-9-3 07:17:42,2621,274.911,272.575,273.86059748187716,0.5331586753218954,0.7301771533825853
7,2016-9-4 04:58:26,2016-9-4 06:46:05,6460,273.778,271.9375,272.68891772445824,0.07420005721018062,0.27239687445009464
8,2016-9-4 16:38:07,2016-9-4 16:59:51,1305,274.84000000000003,273.63599999999997,274.36864252873556,0.07818588036016272,0.2796173820780152
9,2016-9-5 06:35:06,2016-9-5 07:09:58,2093,274.132,271.9375,273.3881502627807,0.2162811725584907,0.4650603966782064
10,2016-9-5 07:10:00,2016-9-5 07:31:07,1268,273.63599999999997,272.575,273.0930283911672,0.060191735183830516,0.24534003991161027
11,2016-9-5 17:52:40,2016-9-5 18:43:36,3057,275.336,273.849,274.347675171737,0.10213905822824985,0.31959201840510637
12,2016-9-5 21:04:26,2016-9-5 21:31:29,1624,275.0525,273.99,274.3491714901478,0.058230162039430315,0.2413092663770505
13,2016-9-7 18:48:04,2016-9-7 19:09:16,1273,275.903,274.982,275.3694681853888,0.05926149800432969,0.24343684602855356
14,2016-9-7 19:49:35,2016-9-7 20:28:58,2364,274.344,273.353,273.7078085871404,0.04725951317633458,0.2173925324760135
15,2016-9-7 21:19:03,2016-9-7 21:47:24,1702,274.6275,271.089,273.5572009400705,0.5176070807045808,0.7194491508818263
16,2016-9-7 22:09:28,2016-9-7 22:40:41,1874,274.486,273.42400000000004,273.940939167556,0.08532537403368921,0.2921050736185341
17,2016-9-8 18:02:20,2016-9-8 18:26:03,1424,276.1155,274.132,275.49242485955057,0.19311004846097993,0.4394428841851691
18,2016-9-8 19:52:16,2016-9-8 20:38:03,2748,275.548,274.2025,274.64363045851525,0.08646569038246077,0.2940504895123638
19,2016-9-8 20:48:13,2016-9-8 21:11:38,1406,274.344,272.504,274.0098645092461,0.18401201098861478,0.42896621194286944
20,2016-9-9 04:42:56,2016-9-9 05:04:30,1295,274.344,271.584,273.59021891891894,0.38965401907765274,0.6242227319456195
21,2016-9-9 05:50:39,2016-9-9 06:11:47,1269,274.982,273.63599999999997,274.30843695823484,0.094366509429539,0.3071913238187872
22,2016-9-9 06:45:27,2016-9-9 07:06:43,1277,274.557,272.433,273.7867227877839,0.2610620974661995,0.5109423621762043
23,2016-9-9 07:18:12,2016-9-9 07:53:29,2118,274.27299999999997,272.6455,273.63573583569405,0.12519706469063518,0.35383197239740105
24,2016-9-9 08:07:38,2016-9-9 08:28:14,1237,273.9195,272.999,273.6058500404203,0.04934934824635827,0.2221471319786917
25,2016-9-9 17:13:15,2016-9-9 17:44:44,1890,276.824,275.194,275.8836367724868,0.23394109073283295,0.48367457110420115
26,2016-9-9 17:56:52,2016-9-9 18:27:09,1818,275.407,274.6275,275.0129669966997,0.04320707623544616,0.20786311898806425
27,2016-9-9 18:42:42,2016-9-9 19:17:53,2112,276.399,274.557,275.31292495265154,0.18100836634533327,0.4254507801677337
28,2016-9-9 19:33:11,2016-9-9 20:12:42,2372,276.0445,274.911,275.56617010961213,0.06843899477468071,0.2616084761139836
29,2016-9-11 18:44:05,2016-9-11 19:13:05,1741,274.132,272.362,272.9536114302125,0.11650145395548252,0.3413230932056642
30,2016-9-11 19:52:35,2016-9-11 20:27:34,2100,273.42400000000004,271.867,272.4588304761904,0.12995933118129083,0.36049872563060587
31,2016-9-12 18:31:41,2016-9-12 18:57:55,1575,272.291,270.80600000000004,271.86408063492064,0.1178262028331335,0.34325821597324296
32,2016-9-12 18:58:23,2016-9-12 19:27:15,1733,272.291,271.16,271.97001904212345,0.06441341909445811,0.25379798875179865
33,2016-9-14 20:10:36,2016-9-14 20:43:27,1972,274.132,273.2115,273.6806450304259,0.059502235931661214,0.24393080152301638
